%time,field.data
1509044743174072178,-4.44121599197
1509044743283042303,-5.64396762848
1509044743386079159,-3.98530650139
1509044743489789371,-5.52411842346
1509044743594171056,-7.63260030746
1509044743716305837,-6.5375494957
1509044743806853593,-9.43046569824
1509044743911097647,-2.79765725136
1509044744013228105,-7.14724874496
1509044744119134057,-7.12336397171
1509044744220787128,-10.4216480255
1509044744328307345,-6.86866426468
1509044744431173467,-10.4451875687
1509044744548417474,-0.823316752911
1509044744640146758,-9.85958003998
1509044744745226015,-9.72549819946
1509044744854795191,-10.030087471
1509044744956270312,-6.55821084976
1509044745112245677,3.76764917374
1509044745171024719,-4.37415122986
1509044745272945331,-5.84538221359
1509044745377871124,-5.57007598877
1509044745481272271,-7.35210561752
1509044745587742455,-7.91828298569
1509044745690891407,-8.31199550629
1509044745795321974,-9.74520206451
1509044745900602375,-7.6600446701
1509044746003692868,-13.4592723846
1509044746108071525,-11.7602539062
1509044746218810404,-9.40824794769
1509044746320353198,-9.70180416107
1509044746433576464,-4.36282444
1509044746527815290,-11.2741985321
1509044746637293624,-2.850908041
1509044746782968892,5.45100021362
1509044746850209034,-1.45074212551
1509044746948401932,-10.5320768356
1509044747056467468,-8.12319850922
1509044747157523330,-10.1764717102
1509044747263633583,-8.85875320435
1509044747392974591,-7.36862277985
1509044747474547314,-11.0022926331
1509044747579466561,-6.41949367523
1509044747681087692,-10.4490184784
1509044747787152622,-9.26309871674
1509044747891389870,-9.4693031311
1509044747999040504,-9.03627872467
1509044748101678147,-10.0841960907
1509044748249906898,0.232134625316
1509044748312139696,-9.86140632629
1509044748415383948,-10.5757837296
1509044748522215305,-10.1292123795
1509044748625469237,-10.8426990509
1509044748730055133,-11.0002174377
1509044748837419705,-6.71566581726
1509044748944304816,-3.52903532982
1509044749075935248,1.04637181759
1509044749156035129,-1.0903762579
1509044749254980673,-9.98611927032
1509044749398999755,6.19666147232
1509044749466857291,-4.57870483398
1509044749570908292,-5.89684247971
1509044749676333302,-9.39507198334
1509044749779862737,-8.56171703339
1509044749883080635,-9.37146568298
1509044750009954109,-4.24419260025
1509044750095196499,-5.67774534225
1509044750255431274,9.85402393341
1509044750304934905,-8.49548721313
1509044750409615393,-5.09886074066
1509044750515653070,-4.28710842133
1509044750620285965,-4.9324631691
1509044750724275533,-8.29584503174
1509044750828332455,-8.16526508331
1509044750932358716,-7.79350042343
1509044751036276368,-8.65449142456
1509044751141123593,-10.0688066483
1509044751249181688,-5.61644458771
1509044751350600546,-9.1245803833
1509044751457457073,-8.90600585938
1509044751561292738,-9.50872898102
1509044751665721126,-9.13140773773
1509044751770490120,-9.55566501617
1509044751874850434,-9.6606092453
1509044751983353502,-9.29339504242
1509044752084736792,-9.81785774231
1509044752190146630,-9.89172077179
1509044752297335433,-5.9159617424
1509044752412504684,-8.5928850174
1509044752506390326,-6.801674366
1509044752610254159,-9.92808818817
1509044752720532255,-5.08226490021
1509044752822086822,-6.10759830475
1509044752926379603,-5.64475297928
1509044753031176961,-5.20001173019
1509044753152436288,-5.78232097626
1509044753238891747,-8.80699825287
1509044753347334998,-0.340621054173
1509044753452538596,-3.81682419777
1509044753556376256,-0.334266990423
1509044753658356833,-7.95358371735
1509044753763585422,-8.75227642059
1509044753867431252,-9.26530838013
1509044753973375081,-5.21528244019
1509044754078334982,-5.45487976074
1509044754183471998,-8.73223209381
1509044754292416608,-3.87515640259
1509044754393654248,-5.81127357483
1509044754498487291,-4.82030153275
1509044754606216160,-4.67247867584
1509044754706923796,-4.98363018036
1509044754812408470,-5.30205202103
1509044754922602353,-3.77077078819
1509044755022122608,-5.80217647552
1509044755127878422,-6.52846670151
1509044755231916450,-7.59385108948
1509044755335068249,-10.5429649353
1509044755474153474,-1.0062983036
1509044755545639488,-10.2135267258
1509044755650518353,-10.8205928802
1509044755758959037,-0.931518137455
1509044755914326527,9.00016498566
1509044755964726975,-10.0243091583
1509044756069820520,-6.17111349106
1509044756179050541,-2.50173687935
1509044756278002579,-9.91026306152
1509044756415571176,0.453567892313
1509044756488993877,-6.97118377686
1509044756594601187,-6.19634914398
1509044756699582840,-5.53344297409
1509044756805204757,-8.46554946899
1509044756909134023,-6.30329847336
1509044757011610134,-9.78010368347
1509044757123839609,-4.14774751663
1509044757222722295,-9.46746253967
1509044757331159554,-1.64143908024
1509044757432230746,-9.36509990692
1509044757535983433,-9.56463623047
1509044757640686013,-10.2050523758
1509044757745582264,-9.82361602783
1509044757855461759,-5.40239048004
1509044757957400257,-5.16679954529
1509044758060300790,-9.22667980194
1509044758165452827,-8.92095470428
1509044758270986311,-5.44585084915
1509044758377563425,-5.26551628113
1509044758479309067,-9.51771736145
1509044758587168699,-9.02593040466
1509044758690044726,-8.99446392059
1509044758811699537,-7.31429767609
1509044758898862980,-9.3589220047
1509044759003934456,-9.28731250763
1509044759126748665,-4.95878124237
1509044759213559192,-9.65415859222
1509044759321413068,-5.9133143425
1509044759425497656,-5.32954835892
1509044759529655549,-6.28071022034
1509044759634924835,-5.24273061752
1509044759738649033,-9.30561828613
1509044759845417111,-9.21646595001
1509044759947259046,-9.90279483795
1509044760053193200,-8.72089862823
1509044760157123120,-9.44835567474
1509044760261556558,-9.79271221161
1509044760367269185,-9.4950466156
1509044760473627345,-8.20988273621
1509044760577522094,-9.22175216675
1509044760680897528,-10.0150794983
1509044760789951145,-5.30011558533
1509044760891883794,-9.12032032013
1509044760998190121,-6.55310106277
1509044761101717005,-8.81993865967
1509044761205641729,-9.67444896698
1509044761334375398,-1.66387152672
1509044761415052873,-9.65116024017
