%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fuel_level
1509044733526414413,27884,1509044733526288476,,35.4348945618
1509044733626371020,27885,1509044733626280168,,35.4348945618
1509044733726387526,27886,1509044733726290986,,35.4348945618
1509044733826381273,27887,1509044733826299974,,35.4348945618
1509044733926141385,27888,1509044733925999238,,35.4348945618
1509044734026080073,27889,1509044734025999313,,35.4348945618
1509044734127080288,27890,1509044734126928837,,35.4348945618
1509044734226565890,27891,1509044734226435238,,35.4348945618
1509044734326630483,27892,1509044734326373738,,35.4348945618
1509044734426483279,27893,1509044734426385203,,35.4348945618
1509044734526489682,27894,1509044734526396023,,35.4348945618
1509044734626550884,27895,1509044734626407419,,35.4348945618
1509044734726508468,27896,1509044734726420197,,35.4348945618
1509044734826625808,27897,1509044734826461892,,35.4348945618
1509044734926188939,27898,1509044734926111458,,35.4348945618
1509044735026308404,27899,1509044735026200987,,35.4348945618
1509044735127180731,27900,1509044735127063797,,35.4348945618
1509044735226771407,27901,1509044735226544078,,35.4348945618
1509044735326715973,27902,1509044735326532444,,35.4348945618
1509044735426393601,27903,1509044735426126164,,35.4348945618
1509044735526271408,27904,1509044735526111650,,35.4348945618
1509044735626262669,27905,1509044735626147774,,35.4348945618
1509044735726265567,27906,1509044735726158415,,35.4348945618
1509044735826315111,27907,1509044735826148860,,35.4348945618
1509044735926740994,27908,1509044735926606710,,35.4348945618
1509044736026781038,27909,1509044736026622436,,35.4348945618
1509044736127324233,27910,1509044736127191329,,35.4348945618
1509044736226332670,27911,1509044736226205709,,35.4348945618
1509044736326455168,27912,1509044736326361078,,35.4348945618
1509044736426430897,27913,1509044736426308472,,35.4348945618
1509044736526528890,27914,1509044736526404844,,35.4348945618
1509044736626782671,27915,1509044736626675305,,35.4348945618
1509044736726504591,27916,1509044736726298019,,35.4348945618
1509044736826456724,27917,1509044736826293138,,35.4348945618
1509044736926409410,27918,1509044736926299749,,35.4348945618
1509044737026426030,27919,1509044737026311212,,35.4348945618
1509044737127643520,27920,1509044737127449219,,35.4348945618
1509044737226450323,27921,1509044737226336030,,35.4348945618
1509044737326505354,27922,1509044737326359062,,35.4348945618
1509044737426974248,27923,1509044737426831828,,35.4348945618
1509044737526499250,27924,1509044737526386543,,35.4348945618
1509044737626577139,27925,1509044737626399679,,35.4348945618
1509044737726520982,27926,1509044737726407302,,35.4348945618
1509044737826520502,27927,1509044737826442092,,35.4348945618
1509044737926542868,27928,1509044737926436560,,35.4348945618
1509044738026552792,27929,1509044738026465930,,35.4348945618
1509044738127579876,27930,1509044738127457182,,35.4348945618
1509044738226645728,27931,1509044738226499794,,35.4348945618
1509044738326598965,27932,1509044738326481223,,35.4348945618
1509044738427024960,27933,1509044738426919442,,35.4348945618
1509044738526603783,27934,1509044738526513128,,35.4348945618
1509044738626670193,27935,1509044738626522496,,35.4348945618
1509044738726696503,27936,1509044738726620761,,35.4348945618
1509044738826725186,27937,1509044738826633739,,35.4348945618
1509044738926825749,27938,1509044738926676270,,35.4348945618
1509044739026774069,27939,1509044739026660296,,35.4348945618
1509044739127110478,27940,1509044739127010851,,35.4348945618
