%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1509044730485620040,87,1509044730485560420,,2,/record_1509044729293450473,Subscribing to /image_proc_debayer/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730488212705,88,1509044730488127868,,2,/record_1509044729293450473,Subscribing to /image_proc_rectify_mono/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730490706184,89,1509044730490654385,,2,/record_1509044729293450473,Subscribing to /image_rect/compressedDepth/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730493130644,90,1509044730493089684,,2,/record_1509044729293450473,Subscribing to /image_proc_debayer/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730495326162,91,1509044730495287124,,2,/record_1509044729293450473,Subscribing to /base_waypoints,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730497245911,44,1509044730497181407,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730497446821,92,1509044730497360882,,2,/record_1509044729293450473,Subscribing to /image_rect/compressedDepth,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730499565200,93,1509044730499478751,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressed,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730501981936,94,1509044730501913450,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressed/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730503952906,95,1509044730503914317,,2,/record_1509044729293450473,Subscribing to /vehicle/traffic_lights,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
