%time,field.header.seq,field.header.stamp,field.header.frame_id,field.state.gear,field.cmd.gear,field.reject.value,field.override,field.fault_bus
1509044737456882533,55743,1509044737456789275,,4,0,0,0,0
1509044737506905003,55744,1509044737506799318,,4,0,0,0,0
1509044737556902012,55745,1509044737556802842,,4,0,0,0,0
1509044737606973571,55746,1509044737606814974,,4,0,0,0,0
1509044737656953611,55747,1509044737656819931,,4,0,0,0,0
1509044737706997959,55748,1509044737706820622,,4,0,0,0,0
1509044737757518376,55749,1509044737757412527,,4,0,0,0,0
1509044737807513724,55750,1509044737807412867,,4,0,0,0,0
1509044737857585662,55751,1509044737857425915,,4,0,0,0,0
1509044737907547311,55752,1509044737907425139,,4,0,0,0,0
1509044737957567194,55753,1509044737957441457,,4,0,0,0,0
1509044738007813873,55754,1509044738007447770,,4,0,0,0,0
1509044738057828470,55755,1509044738057496973,,4,0,0,0,0
1509044738107686636,55756,1509044738107505319,,4,0,0,0,0
1509044738158000833,55757,1509044738157886254,,4,0,0,0,0
1509044738207997081,55758,1509044738207887898,,4,0,0,0,0
1509044738258160499,55759,1509044738257900849,,4,0,0,0,0
1509044738308009346,55760,1509044738307904104,,4,0,0,0,0
1509044738358035966,55761,1509044738357911155,,4,0,0,0,0
1509044738408671867,55762,1509044738408576320,,4,0,0,0,0
1509044738458671036,55763,1509044738458509517,,4,0,0,0,0
1509044738508634611,55764,1509044738508510484,,4,0,0,0,0
1509044738558625179,55765,1509044738558516895,,4,0,0,0,0
1509044738608700092,55766,1509044738608546634,,4,0,0,0,0
1509044738658678389,55767,1509044738658533140,,4,0,0,0,0
1509044738708739821,55768,1509044738708536232,,4,0,0,0,0
1509044738759093560,55769,1509044738758964081,,4,0,0,0,0
1509044738809125474,55770,1509044738808997652,,4,0,0,0,0
1509044738859160741,55771,1509044738859004862,,4,0,0,0,0
1509044738909186710,55772,1509044738908991244,,4,0,0,0,0
1509044738959100309,55773,1509044738958990698,,4,0,0,0,0
1509044739009086134,55774,1509044739008996759,,4,0,0,0,0
1509044739059744533,55775,1509044739059585132,,4,0,0,0,0
1509044739110366736,55776,1509044739109661900,,4,0,0,0,0
1509044739159710868,55777,1509044739159598680,,4,0,0,0,0
1509044739209781933,55778,1509044739209612124,,4,0,0,0,0
1509044739259886770,55779,1509044739259647420,,4,0,0,0,0
1509044739310527542,55780,1509044739309635949,,4,0,0,0,0
1509044739359737428,55781,1509044739359626877,,4,0,0,0,0
1509044739410148087,55782,1509044739410051404,,4,0,0,0,0
1509044739460205347,55783,1509044739460078631,,4,0,0,0,0
1509044739511149373,55784,1509044739510095312,,4,0,0,0,0
1509044739560232972,55785,1509044739560149666,,4,0,0,0,0
1509044739610228718,55786,1509044739610102631,,4,0,0,0,0
1509044739660378620,55787,1509044739660242348,,4,0,0,0,0
1509044739711336393,55788,1509044739711012734,,4,0,0,0,0
1509044739760764277,55789,1509044739760675443,,4,0,0,0,0
1509044739810869314,55790,1509044739810767215,,4,0,0,0,0
1509044739860817714,55791,1509044739860717424,,4,0,0,0,0
1509044739911005458,55792,1509044739910778549,,4,0,0,0,0
1509044739960795203,55793,1509044739960705078,,4,0,0,0,0
1509044740010884389,55794,1509044740010791404,,4,0,0,0,0
1509044740061219627,55795,1509044740061133695,,4,0,0,0,0
1509044740111229907,55796,1509044740110988188,,4,0,0,0,0
1509044740161250540,55797,1509044740161150469,,4,0,0,0,0
1509044740211279863,55798,1509044740211154543,,4,0,0,0,0
1509044740261260668,55799,1509044740261162333,,4,0,0,0,0
1509044740312597862,55800,1509044740311256031,,4,0,0,0,0
1509044740361947812,55801,1509044740361780063,,4,0,0,0,0
1509044740411919828,55802,1509044740411791067,,4,0,0,0,0
1509044740461874461,55803,1509044740461775678,,4,0,0,0,0
1509044740512003242,55804,1509044740511807762,,4,0,0,0,0
1509044740562013893,55805,1509044740561791388,,4,0,0,0,0
1509044740611971321,55806,1509044740611871387,,4,0,0,0,0
1509044740661914623,55807,1509044740661821695,,4,0,0,0,0
1509044740712728369,55808,1509044740711886833,,4,0,0,0,0
1509044740765717439,55809,1509044740762233919,,4,0,0,0,0
1509044740812397815,55810,1509044740812316424,,4,0,0,0,0
1509044740862358560,55811,1509044740862248203,,4,0,0,0,0
1509044740912609081,55812,1509044740912281871,,4,0,0,0,0
1509044740962986972,55813,1509044740962848838,,4,0,0,0,0
1509044741013005678,55814,1509044741012925149,,4,0,0,0,0
1509044741062947005,55815,1509044741062852088,,4,0,0,0,0
1509044741113015560,55816,1509044741112865789,,4,0,0,0,0
1509044741162996164,55817,1509044741162873985,,4,0,0,0,0
1509044741213031503,55818,1509044741212951398,,4,0,0,0,0
1509044741262991213,55819,1509044741262877316,,4,0,0,0,0
1509044741313801685,55820,1509044741313413961,,4,0,0,0,0
1509044741363486455,55821,1509044741363317833,,4,0,0,0,0
1509044741413522868,55822,1509044741413399094,,4,0,0,0,0
1509044741463493001,55823,1509044741463408382,,4,0,0,0,0
1509044741513492140,55824,1509044741513413630,,4,0,0,0,0
1509044741563508860,55825,1509044741563420920,,4,0,0,0,0
1509044741613499298,55826,1509044741613423868,,4,0,0,0,0
1509044741664146379,55827,1509044741663932370,,4,0,0,0,0
1509044741714191895,55828,1509044741714017934,,4,0,0,0,0
1509044741764140751,55829,1509044741763983628,,4,0,0,0,0
1509044741814078379,55830,1509044741813953159,,4,0,0,0,0
1509044741864182906,55831,1509044741864099630,,4,0,0,0,0
1509044741914849282,55832,1509044741913976580,,4,0,0,0,0
1509044741964146226,55833,1509044741964065266,,4,0,0,0,0
1509044742014527089,55834,1509044742014400844,,4,0,0,0,0
1509044742064512225,55835,1509044742064404251,,4,0,0,0,0
1509044742114631052,55836,1509044742114417083,,4,0,0,0,0
1509044742164497875,55837,1509044742164418041,,4,0,0,0,0
1509044742215014284,55838,1509044742214502207,,4,0,0,0,0
1509044742265371121,55839,1509044742265026993,,4,0,0,0,0
1509044742315109499,55840,1509044742315019268,,4,0,0,0,0
1509044742365153554,55841,1509044742365024221,,4,0,0,0,0
1509044742415115882,55842,1509044742415029367,,4,0,0,0,0
1509044742465176697,55843,1509044742465036085,,4,0,0,0,0
1509044742515151803,55844,1509044742515044405,,4,0,0,0,0
1509044742565192140,55845,1509044742565050706,,4,0,0,0,0
1509044742615165009,55846,1509044742615056379,,4,0,0,0,0
1509044742665573125,55847,1509044742665485402,,4,0,0,0,0
1509044742715375052,55848,1509044742715234268,,4,0,0,0,0
1509044742765569846,55849,1509044742765495835,,4,0,0,0,0
1509044742815619044,55850,1509044742815503116,,4,0,0,0,0
1509044742865640506,55851,1509044742865532843,,4,0,0,0,0
1509044742915680068,55852,1509044742915597791,,4,0,0,0,0
1509044742966249885,55853,1509044742966104098,,4,0,0,0,0
1509044743016196018,55854,1509044743016110804,,4,0,0,0,0
1509044743066208354,55855,1509044743066119711,,4,0,0,0,0
1509044743116291434,55856,1509044743116206838,,4,0,0,0,0
1509044743166336511,55857,1509044743166177441,,4,0,0,0,0
1509044743216345927,55858,1509044743216231356,,4,0,0,0,0
1509044743266813144,55859,1509044743266575327,,4,0,0,0,0
1509044743316422875,55860,1509044743316313965,,4,0,0,0,0
1509044743366660429,55861,1509044743366576803,,4,0,0,0,0
1509044743416762949,55862,1509044743416666622,,4,0,0,0,0
1509044743466673909,55863,1509044743466588318,,4,0,0,0,0
1509044743516846553,55864,1509044743516761873,,4,0,0,0,0
1509044743567308028,55865,1509044743567208184,,4,0,0,0,0
1509044743617367622,55866,1509044743617275544,,4,0,0,0,0
1509044743668671925,55867,1509044743667223092,,4,0,0,0,0
1509044743717694557,55868,1509044743717306427,,4,0,0,0,0
1509044743767300261,55869,1509044743767209135,,4,0,0,0,0
1509044743817416018,55870,1509044743817299425,,4,0,0,0,0
1509044743867403315,55871,1509044743867320468,,4,0,0,0,0
1509044743917767847,55872,1509044743917653408,,4,0,0,0,0
1509044743967533631,55873,1509044743967410545,,4,0,0,0,0
1509044744017810148,55874,1509044744017686982,,4,0,0,0,0
1509044744067762234,55875,1509044744067669536,,4,0,0,0,0
1509044744118266750,55876,1509044744117688507,,4,0,0,0,0
1509044744168003996,55877,1509044744167827113,,4,0,0,0,0
1509044744218525664,55878,1509044744218280578,,4,0,0,0,0
1509044744268441392,55879,1509044744268361589,,4,0,0,0,0
1509044744318404496,55880,1509044744318287828,,4,0,0,0,0
1509044744368559489,55881,1509044744368474672,,4,0,0,0,0
1509044744418465111,55882,1509044744418305504,,4,0,0,0,0
1509044744469003374,55883,1509044744468487310,,4,0,0,0,0
1509044744518636999,55884,1509044744518351726,,4,0,0,0,0
1509044744568605791,55885,1509044744568481528,,4,0,0,0,0
1509044744618905317,55886,1509044744618753678,,4,0,0,0,0
1509044744668955173,55887,1509044744668870908,,4,0,0,0,0
1509044744718942726,55888,1509044744718770648,,4,0,0,0,0
1509044744769183670,55889,1509044744768989425,,4,0,0,0,0
1509044744818882549,55890,1509044744818778436,,4,0,0,0,0
1509044744869452640,55891,1509044744869362268,,4,0,0,0,0
1509044744919505522,55892,1509044744919373065,,4,0,0,0,0
1509044744969596526,55893,1509044744969446426,,4,0,0,0,0
1509044745019563654,55894,1509044745019403484,,4,0,0,0,0
1509044745071959977,55895,1509044745069439787,,4,0,0,0,0
1509044745119726628,55896,1509044745119413310,,4,0,0,0,0
1509044745169660636,55897,1509044745169412901,,4,0,0,0,0
1509044745219986460,55898,1509044745219838582,,4,0,0,0,0
1509044745270087370,55899,1509044745269847341,,4,0,0,0,0
1509044745320118640,55900,1509044745319847700,,4,0,0,0,0
1509044745370315792,55901,1509044745369855894,,4,0,0,0,0
1509044745420065650,55902,1509044745419881228,,4,0,0,0,0
1509044745470632206,55903,1509044745470470272,,4,0,0,0,0
1509044745520647887,55904,1509044745520539789,,4,0,0,0,0
1509044745570750497,55905,1509044745570482953,,4,0,0,0,0
1509044745620627377,55906,1509044745620541905,,4,0,0,0,0
1509044745670628258,55907,1509044745670495142,,4,0,0,0,0
